ACCESSION_NUMBER	ED_ID	TYPE	NAME	OUTSTANDING	CUSIP	PUBLICYTRADED
0001213900-19-005271	1	Preferred	None	0	000000000	None
0001213900-19-005271	1	Debt Securities	None	0	000000000	None
0001213900-19-005271	1	Common	Common Stock	12279880	000000000	None
0001144204-19-016870	1	Preferred	Series Seed Preferred Stock	568796	000000N/A	N/A
0001144204-19-016870	1	Common	Common Stock	1732585	000000N/A	N/A
0001144204-19-016870	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-016870	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-016865	1	Preferred	Series Seed	568796	000000N/A	N/A
0001144204-19-016865	1	Common	Common Stock	1732585	000000N/A	N/A
0001144204-19-016865	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-016865	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001445866-19-000310	1	Debt Securities		0		
0001445866-19-000310	1	Preferred		0		
0001445866-19-000310	1	Common	Common Stock	8100000	N/A	N/A
0001104659-19-018303	1	Preferred		0		
0001104659-19-018303	1	Common	Common shares	1682994	N/A	N/A
0001104659-19-018303	1	Debt Securities		0		
0001437749-19-005903	1	Preferred		0		
0001437749-19-005903	1	Debt Securities		0		
0001437749-19-005903	1	Common	Common units	1871890	n/a	n/a
0001019056-19-000222	1	Preferred	Perferred Stock	0	000000000	N/A
0001019056-19-000222	1	Common	Common Stock	237500000	000000000	N/A
0001019056-19-000222	1	Debt Securities	N/A	0	000000000	N/A
0000715812-19-000009	1	Common	Common	66810	000000000	-
0000715812-19-000009	1	Debt Securities	-	0	000000000	-
0000715812-19-000009	1	Preferred	-	0	000000000	-
0001078782-19-000252	1	Common	Common Stock	15022650	46265G107	OTC Pink
0001078782-19-000252	1	Preferred	Preferred Stock	0		
0001078782-19-000252	1	Debt Securities	Debt	75000	None	None
0001731122-19-000142	1	Debt Securities	Debt Securities Promissory Not	25	000000000	N/A
0001731122-19-000142	1	Common	Common Equity Membership Inter	100	000000000	N/A
0001731122-19-000142	1	Preferred	Preferred Equity	0	000000000	N/A
0001078782-19-000249	1	Common	Common Stock	15022650	46265G107	OTC Pink
0001078782-19-000249	1	Preferred	Preferred Stock	0		
0001078782-19-000249	1	Debt Securities	Debt	75000	None	None
0001760319-19-000006	1	Preferred	0	0	0	
0001760319-19-000006	1	Common	Common Stock	19700000	0	0
0001760319-19-000006	1	Debt Securities	0	0	0	0
0001144204-19-016178	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-016178	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-016178	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-016178	1	Preferred	Series Seed	568796	000000N/A	N/A
0001437749-19-005758	1	Common	Common units	1871890	n/a	n/a
0001437749-19-005758	1	Debt Securities		0		
0001437749-19-005758	1	Preferred		0		
0001477932-19-001196	1	Preferred		0		
0001477932-19-001196	1	Debt Securities		0		
0001477932-19-001196	1	Common	Common Stock	0	None	
0001144204-19-016032	1	Common	Class B Common Stock	18000000	000000N/A	N/A
0001144204-19-016032	1	Preferred	N/A	0	000000N/A	N/A
0001144204-19-016032	1	Debt Securities	N/A	0	000000N/A	N/A
0001104659-19-017475	1	Common	Common shares	1682994	N/A	N/A
0001104659-19-017475	1	Preferred		0		
0001104659-19-017475	1	Debt Securities		0		
0001683168-19-000774	1	Debt Securities	none	0	000000n/a	none
0001683168-19-000774	1	Preferred	none	0	000000n/a	none
0001683168-19-000774	1	Common	Common Stock	2438506953	34512L202	OTCMarkets, Pink Open Market
0001477932-19-001151	1	Common	Common Stock	0	None	
0001477932-19-001151	1	Preferred		0		
0001477932-19-001151	1	Debt Securities		0		
0001758868-19-000002	1	Debt Securities		0		
0001758868-19-000002	1	Preferred		0		
0001758868-19-000002	1	Common	Common Stock	2800000	0	none
0001213900-19-004701	1	Common	Common Stock	200000000	000000000	n/a
0001213900-19-004701	1	Debt Securities	n/a	0	000000000	n/a
0001213900-19-004701	1	Preferred	n/a	0	000000000	n/a
0001376474-19-000053	1	Preferred		0		
0001376474-19-000053	1	Common	None	1782202	860000107	OTC Pink
0001376474-19-000053	1	Debt Securities		0		
0001393905-19-000084	1	Preferred		0		
0001393905-19-000084	1	Debt Securities	Convertible Notes	104698	None	None
0001393905-19-000084	1	Common	Common	4900003	None	None
0001765320-19-000002	1	Preferred	SERIES A VOTING CONVERTIBLE	1000000	N/A	N/A
0001765320-19-000002	1	Common	COMMON	47115000	09183F10	N/A
0001765320-19-000002	1	Debt Securities		0	N/A	
0001683168-19-000742	1	Common	Class A and B Common Stock	1390110900	0000000na	na
0001683168-19-000742	1	Debt Securities	none	0	0000000na	na
0001683168-19-000742	1	Preferred	none	0	0000000na	na
0001144204-19-015156	1	Common	Class A	558879	000000000	N/A
0001144204-19-015156	1	Debt Securities	N/A	0	000000000	N/A
0001144204-19-015156	2	Common	Class B	1637243	000000000	N/A
0001144204-19-015156	1	Preferred	N/A	0	000000000	N/A
0001615774-19-004280	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004280	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004280	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004278	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004278	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004278	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004276	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004276	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004276	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004275	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004275	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004275	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004272	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004272	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004272	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004270	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004270	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004270	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004269	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004269	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004269	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004267	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004267	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004267	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004266	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004266	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004266	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004263	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004263	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004263	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004261	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004261	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004261	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004260	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-004260	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004260	1	Common	Common Stock	1	000000N/A	N/A
0001144204-19-014909	1	Common	common	281742840	000900475	None
0001144204-19-014909	1	Preferred	None	0	000000000	None
0001144204-19-014909	1	Debt Securities	None	0	000000000	None
0001213900-19-004466	1	Preferred	Preferred Stock	0	000000000	None
0001213900-19-004466	1	Debt Securities	None	0	000000000	None
0001213900-19-004466	1	Common	Common Stock	1559720	246694103	OTC Markets
0001493152-19-003562	1	Debt Securities	NONE	0	000000000	NONE
0001493152-19-003562	1	Preferred	None	0	000000000	NONE
0001493152-19-003562	1	Common	Membership Interests	16015	000000000	NONE
0001144204-19-014672	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-014672	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-014672	1	Preferred	Series Seed	568796	000000N/A	N/A
0001144204-19-014672	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001213900-19-004381	1	Common	Common Stock	23668900	000000000	Common Stock
0001213900-19-004381	1	Preferred	None	0	000000000	None
0001213900-19-004381	1	Debt Securities	None	0	000000000	None
0001615774-19-004155	1	Debt Securities	None	0	000000000	None
0001615774-19-004155	1	Preferred	None	0	000000000	None
0001615774-19-004155	1	Common	Common Stock	11150000	000000000	None
0001117768-19-000152	1	Common	COMMON	70916	51509W108	OTC Pinksheets
0001117768-19-000152	1	Preferred	Preferred A	5000000	51509W108	NONE
0001117768-19-000152	1	Debt Securities		0		
0001683168-19-000661	1	Common	Common Stock Class A	2459138840	423703107	OTC Pink Sheets
0001683168-19-000661	1	Debt Securities	none	0	0000000na	n/a
0001683168-19-000661	1	Preferred	none	0	0000000na	n/a
0001683168-19-000661	2	Common	Common Stock Class B	108000000	000000n/a	n/a
0001144204-19-013755	1	Preferred	N/A	0	000000N/A	N/A
0001144204-19-013755	1	Common	Common Stock	2234550	000000N/A	N/A
0001144204-19-013755	1	Debt Securities	N/A	0	000000N/A	N/A
0001683168-19-000639	1	Preferred	none	0	0000000na	na
0001683168-19-000639	1	Debt Securities	none	0	0000000na	na
0001683168-19-000639	1	Common	Class A and B Common Stock	1040110900	0000000na	na
0001615774-19-004000	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-004000	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-004000	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003979	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003979	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003979	1	Debt Securities	N/A	0	000000N/A	N/A
0001437749-19-004703	1	Common	Common units	1871890	n/a	n/a
0001437749-19-004703	1	Preferred		0		
0001437749-19-004703	1	Debt Securities		0		
0001721868-19-000107	1	Debt Securities	0	0	000000000	0
0001721868-19-000107	1	Preferred	30000000	30000000	0000000NA	NA
0001721868-19-000107	1	Common	5000000000	4528205518	000682203	OTC Markets
0001144204-19-013333	1	Preferred	None	0	000000000	None
0001144204-19-013333	1	Common	Common Shares	500	000000000	None
0001144204-19-013333	1	Debt Securities	None	0	000000000	None
0001144204-19-013332	1	Common	Common Shares	500	000000000	None
0001144204-19-013332	1	Debt Securities	None	0	000000000	None
0001144204-19-013332	1	Preferred	None	0	000000000	None
0001393905-19-000072	1	Common	Common	4900003	None	None
0001393905-19-000072	1	Preferred		0		
0001393905-19-000072	1	Debt Securities	Convertible Notes	104698	None	None
0001615774-19-003876	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003876	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003876	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003872	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003872	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003872	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003869	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003869	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003869	1	Common	Common Stock	1	000000N/A	N/A
0001214659-19-002011	1	Debt Securities	NONE	0	00000NONE	NONE
0001214659-19-002011	1	Common	NONE	0	00000NONE	NONE
0001214659-19-002011	1	Preferred	NONE	0	00000NONE	NONE
0001615774-19-003791	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003791	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003791	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003754	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003754	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003754	1	Debt Securities	N/A	0	000000N/A	N/A
0001213900-19-003728	1	Debt Securities	n/a	0	000000000	n/a
0001213900-19-003728	1	Preferred	Investor Shares	0	000000000	n/a
0001213900-19-003728	1	Common	Common Shares	1000000	000000000	n/a
0001144204-19-012709	1	Preferred	Preferred Stock	6873309	000000N/A	N/A
0001144204-19-012709	1	Debt Securities	N/A	0	000000N/A	N/A
0001144204-19-012709	1	Common	Common Stock	7430310	000000N/A	N/A
0001615774-19-003726	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003726	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003726	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003723	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003723	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003723	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003721	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003721	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003721	1	Common	Common Stock	1	000000N/A	N/A
0001445866-19-000214	1	Debt Securities	0	0		
0001445866-19-000214	1	Common	0	0		
0001445866-19-000214	1	Preferred	0	0		
0001144204-19-012639	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-012639	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-012639	1	Preferred	Series Seed	568796	000000N/A	N/A
0001144204-19-012639	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-012509	1	Common	Class B Common Stock	18000000	000000N/A	N/A
0001144204-19-012509	1	Preferred	N/A	0	000000N/A	N/A
0001144204-19-012509	1	Debt Securities	N/A	0	000000N/A	N/A
0001213900-19-003635	1	Preferred	Series A Preferred Stock	0	000000000	N/A
0001213900-19-003635	1	Debt Securities	N/A	0	000000000	N/A
0001213900-19-003635	1	Common	Common Stock	1000000	000000000	N/A
0001761911-19-000001	1	Debt Securities	None	0	N/A	N/A
0001761911-19-000001	1	Preferred	None	0	N/A	N/A
0001761911-19-000001	1	Common	Class A and B Common	58235000	N/A	N/A
0001615774-19-003669	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003669	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003669	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003654	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003654	1	Debt Securities	N/A	0	000000N/A	N/A
0001615774-19-003654	1	Preferred	N/A	0	000000N/A	N/A
0001760319-19-000001	1	Common	Common Stock	19700000	0	0
0001760319-19-000001	1	Preferred	0	0	0	
0001760319-19-000001	1	Debt Securities	0	0	0	0
0001144204-19-012168	1	Debt Securities	N/A	0	000000000	N/A
0001144204-19-012168	1	Preferred	N/A	0	000000000	N/A
0001144204-19-012168	1	Common	Common Stock	32024377	98979R101	N/A
0001683168-19-000545	1	Debt Securities	none	0	0000000na	na
0001683168-19-000545	1	Preferred	A, B, C	13	22547L107	na
0001683168-19-000545	1	Common	Common	2148512607	22547L107	OTC Pink
0001022183-19-000002	1	Debt Securities	NONE	0		
0001022183-19-000002	1	Preferred	100,000,000	1000000	12506E 10	None
0001022183-19-000002	1	Common	1,000,000,000	58593479	12506E 10	OTC Markets CBSC
0001144204-19-012031	1	Common	Common Stock	7430310	000000N/A	N/A
0001144204-19-012031	1	Debt Securities	N/A	0	000000N/A	N/A
0001144204-19-012031	1	Preferred	Preferred Stock	6870828	000000N/A	N/A
0001766570-19-000002	1	Common	Voting Shares	1000	none	none
0001766570-19-000002	1	Preferred		0		
0001766570-19-000002	1	Debt Securities		0		
0001615774-19-003467	1	Common	Common Stock	1	000000N/A	N/A
0001615774-19-003467	1	Preferred	N/A	0	000000N/A	N/A
0001615774-19-003467	1	Debt Securities	N/A	0	000000N/A	N/A
0001437749-19-003774	1	Preferred		0		
0001437749-19-003774	1	Debt Securities		0		
0001437749-19-003774	1	Common	Common units	1871890	n/a	n/a
0000715812-19-000002	1	Debt Securities	-	0	000000000	-
0000715812-19-000002	1	Preferred	-	0	000000000	-
0000715812-19-000002	1	Common	Common	66810	000000000	-
0001683168-19-000514	1	Debt Securities	none	0	0000000na	na
0001683168-19-000514	1	Preferred	none	0	0000000na	na
0001683168-19-000514	1	Common	Class A and B Common Stock	1390110900	0000000na	na
0001144204-19-010451	1	Debt Securities	N/A	0	000000N/A	N/A
0001144204-19-010451	1	Preferred	N/A	0	000000N/A	N/A
0001144204-19-010451	1	Common	Common Shares	9734594	000000N/A	N/A
0001144204-19-010228	1	Preferred	Series Seed	568796	000000N/A	N/A
0001144204-19-010228	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-010228	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-010228	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-010145	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-010145	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-010145	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-010145	1	Preferred	Series Seed	568796	000000N/A	N/A
0001688804-19-000002	6	Common	Series #95BL1	2000	0	None
0001688804-19-000002	5	Common	Series #55PS1	2000	0	None
0001688804-19-000002	8	Common	Series #89PS1	2000	0	None
0001688804-19-000002	9	Common	Series #83FB1	5000	0	None
0001688804-19-000002	4	Common	Series #88LJ1	2000	0	None
0001688804-19-000002	3	Common	Series #85FT1	2000	0	None
0001688804-19-000002	2	Common	Series #69BM1	2000	0	None
0001688804-19-000002	1	Common	Series #77LE1	2000	0	None
0001688804-19-000002	7	Common	Series #90FM1	2000	0	None
0001688804-19-000002	10	Common	#98DV1	2000	0	None
0001688804-19-000002	1	Preferred		0		
0001688804-19-000002	1	Debt Securities		0		
0001683168-19-000492	1	Debt Securities	none	0	000000n/a	none
0001683168-19-000492	1	Common	Common Stock	2438506953	34512L202	OTCMarkets, Pink Open Market
0001683168-19-000492	1	Preferred	none	0	000000n/a	none
0001078782-19-000165	5	Preferred	PREFERRED	3738500	NONE	NONE
0001078782-19-000165	4	Preferred	Series E Convertible	997540	NONE	NONE
0001078782-19-000165	3	Preferred	Series D 2012 Convertible	100	NONE	NONE
0001078782-19-000165	2	Preferred	Series C 2011 Patent Enforceme	7458	NONE	NONE
0001078782-19-000165	1	Preferred	Series B Convertible	1000	NONE	NONE
0001078782-19-000165	1	Common	Common	131420082	243443108	OTC Pink
0001078782-19-000165	1	Debt Securities	Convertible Promissory Notes	1486315	NONE	NONE
0001144204-19-009699	1	Preferred	Series Seed Preferred Stock	568796	000000N/A	N/A
0001144204-19-009699	1	Common	Common Stock	1561406	000000N/A	N/A
0001144204-19-009699	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001144204-19-009699	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001393905-19-000061	1	Common	Common	4900003	None	None
0001393905-19-000061	1	Debt Securities	Convertible Notes	104698	None	None
0001393905-19-000061	1	Preferred		0		
0001640334-19-000317	1	Preferred	Series C Preferred Stock	9996000	N/A	N/A
0001640334-19-000317	1	Debt Securities		0		
0001640334-19-000317	1	Common	Common Stock	207050000	92904T100	OTC Markets
0001213900-19-002929	1	Debt Securities	n/a	0	000000000	n/a
0001213900-19-002929	1	Preferred	n/a	0	000000000	n/a
0001213900-19-002929	1	Common	Series #KW	1	000000000	n/a
0001683168-19-000443	2	Common	Series Sigesmund	61	000000N/A	N/A
0001683168-19-000443	1	Common	Series Moonless Sky	200	000000N/A	N/A
0001683168-19-000443	9	Common	Series Takeo Squared	100	000000N/A	N/A
0001683168-19-000443	7	Common	Series Amers	55	000000N/A	N/A
0001683168-19-000443	3	Common	Series Swiss Minister	27	000000N/A	N/A
0001683168-19-000443	4	Common	Series Bullion	25	000000N/A	N/A
0001683168-19-000443	5	Common	Series Cairo Kiss	80	000000N/A	N/A
0001683168-19-000443	8	Common	Series Tavasco Road	72	000000N/A	N/A
0001683168-19-000443	1	Debt Securities	none	0	000000N/A	N/A
0001683168-19-000443	10	Common	Series Zestful	77	000000N/A	N/A
0001683168-19-000443	1	Preferred	none	0	000000N/A	N/A
0001683168-19-000443	6	Common	Series Soul Beam	62	000000N/A	N/A
0001640334-19-000288	1	Debt Securities		0		
0001640334-19-000288	1	Common	Common Stock	207050000	92904T100	OTC Markets
0001640334-19-000288	1	Preferred	Series C Preferred Stock	9996000	N/A	N/A
0001078782-19-000155	1	Preferred	Preferred Stock	0		
0001078782-19-000155	1	Common	Common Stock	15022650	46265G107	OTC Pink
0001078782-19-000155	1	Debt Securities	Debt	75000	None	None
0001214659-19-001339	1	Common	Common	20870000	000000000	N/A
0001214659-19-001339	1	Debt Securities	N/A	0	000000000	N/A
0001214659-19-001339	1	Preferred	N/A	0	000000000	N/A
0001737569-19-000001	1	Common	Common Stock	60002033	None	None
0001737569-19-000001	1	Debt Securities		0		
0001737569-19-000001	1	Preferred		0		
0001104659-19-009096	1	Preferred		0		
0001104659-19-009096	1	Common	Common shares	1682994	N/A	N/A
0001104659-19-009096	1	Debt Securities		0		
0001144204-19-008691	1	Common	Common Stock	100	000000000	None
0001144204-19-008691	1	Debt Securities	None	0	000000000	None
0001144204-19-008691	1	Preferred	None	0	000000000	None
0001144204-19-008670	1	Preferred	Preferred Stock	6870828	000000N/A	N/A
0001144204-19-008670	1	Debt Securities	N/A	0	000000N/A	N/A
0001144204-19-008670	1	Common	Common Stock	7430310	000000N/A	N/A
0001683168-19-000402	1	Common	Class A Common Stock	1390110900	0000000na	na
0001683168-19-000402	1	Debt Securities	none	0	0000000na	na
0001683168-19-000402	1	Preferred	none	0	0000000na	na
0001731122-19-000053	1	Preferred	Membership Interests	0	000000000	N/A
0001731122-19-000053	1	Debt Securities	Membership Interests	0	000000000	N/A
0001731122-19-000053	1	Common	Membership Interests	50000	000000000	N/A
0001078782-19-000122	1	Common	Common Stock	5915000	None	None
0001078782-19-000122	1	Debt Securities	None	0		
0001078782-19-000122	1	Preferred	Preferred Stock	1000000	None	None
0001144204-19-006971	2	Preferred	Series A Preferred Stock	747373	000000N/A	N/A
0001144204-19-006971	1	Preferred	Series Seed	568796	000000N/A	N/A
0001144204-19-006971	1	Common	Common Stock	1136406	000000N/A	N/A
0001144204-19-006971	1	Debt Securities	Convertible Promissory Notes	2050000	000000N/A	N/A
0001213900-19-002305	1	Preferred	Series A Preferred Stock	0	000000000	N/A
0001213900-19-002305	1	Common	Common Stock	1000000	000000000	N/A
0001213900-19-002305	1	Debt Securities	N/A	0	000000000	N/A
0001628279-19-000025	1	Preferred	Series A	416666	000000000	NA
0001628279-19-000025	1	Common	Common	1898056	000000000	NA
0001628279-19-000025	1	Debt Securities	Convertible Bridge Notes	10400000	000000000	NA
