ACCESSION_NUMBER	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	PHONENUMBER	CONNECTIONNAME	INDUSTRYGROUP	CASHEQUIVALENTS	INVESTMENTSECURITIES	TOTALINVESTMENTS	ACCOUNTSRECEIVABLE	LOANS	PROPERTYPLANTEQUIPMENT	PROPERTYANDEQUIPMENT	TOTALASSETS	ACCOUNTSPAYABLE	POLICYLIABILITIESANDACCRUALS	DEPOSITS	LONGTERMDEBT	TOTALLIABILITIES	TOTALSTOCKHOLDEREQUITY	TOTALLIABILITIESANDEQUITY	TOTALREVENUES	TOTALINTERESTINCOME	COSTANDEXPENSESAPPLTOREVENUES	TOTALINTERESTEXPENSES	DEPRECIATIONANDAMORTIZATION	NETINCOME	EARNINGSPERSHAREBASIC	EARNINGSPERSHAREDILUTED	NAMEAUDITOR	CERTIFYIFTRUE	CERTIFYIFNOTDISQUALIFIED	CERTIFYIFBADACTOR	JURISDICTIONSOFSECOFFEREDNONE	JURISDICTIONSOFSECOFFEREDSAME	IFUNREGSITEREDNONE	SECURITIESACTEXCEMPTION
0001213900-19-005271	5910 Pacific Center Blvd.	Ste 300	SAN DIEGO	CA	92121	800-268-0719	Lisa Sanford	Other	366435.0	0.0		0.0		91057.0		946559.0	7307794.0			0.0	7307794.0	-6361235.0	946559.0	0.0		3139193.0		3072.0	-3479067.0	-0.35000000000000003	-0.35000000000000003	Deloitte & Touche LLP	true	true		true			Rule 506(b) of Regulation D and Rule 701 of the Securities Act.
0001144204-19-016870	600 Peachtree Street	Suite 810	ATLANTA	GA	30308	404-850-9225	Brian S. Korn, Esq.	Other	1069392.0	0.0		38761717.0		813104.0		43013583.0	2493158.0			0.0	45864289.0	-2850706.0	43013583.0	2171786.0		-423776.0		375532.0	-6100655.0	-2.0	-2.0	Hughes Pittman & Gupton, LLP	true	true		true			Regulation A, Rule 506 of Regulation D, and Rule 506 of Regulation D, respectively.
0001144204-19-016865	600 Peachtree Street	Suite 810	ATLANTA	GA	30308	404-850-9225	Nick Bhargava	Other	1069392.0	0.0		38761717.0		813104.0		43013583.0	2493158.0			0.0	45864289.0	-2850706.0	43013583.0	2171786.0		-423776.0		375532.0	-6100655.0	-2.0	-2.0	Hughes Pittman & Gupton, LLP	true	true		true			Regulation A, Rule 506 of Regulation D, and Rule 506 of Regulation D, respectively.
0001445866-19-000310	30 N GOULD STREET STE 7837		SHERIDAN	WY	82801	307-275-8228	Melandrew Santos	Other	305.05	0.0		0.0		0.0		65.35	0.0			0.0	0.0	305.05	65.35	0.0		239.70000000000002		0.0	-239.70000000000002	0.0	0.0	Michelle Hitchcock Bookkeeping	true	true	false	false	true	false	Section 4(a)(2)- an issuer not involved in any public offering. All securities are issued as payment for service rendered.
0001104659-19-018303	10780 Santa Monica Blvd.	Suite 140	Los Angeles	CA	90025	310-907-7144	Lauren B. Prevost	Other	1312851.0	0.0		43447375.0		0.0		47470816.0	332241.0			0.0	544585.0	46926232.0	47470816.0	403710.0		14677.0		0.0	389037.0	0.0	0.0	CohnReznick LLP	true	true	false	false	true	false	Section 4(a)(2) of the Securities Act
0001437749-19-005903	1000 CENTRE AVE, SUITE 120		FORT COLLINS	CO	80526	970-282-0156	Brett Hanson	Other	919839.0	0.0		7425234.0		1951435.0		18769975.0	4030855.0			18971472.0	32731292.0	-13961317.0	18769975.0	546.0		80279.0		1588987.0	-4496800.0	-2.4	-2.39	Interim is unaudited	true	true	false	true	false	false	Private placement per Reg. D/Rule 506.
0001019056-19-000222	120 WALL STREET	25TH FLOOR	NEW YORK	NY	10005	212-269-1400	Andrew Russell	Other	1734463.0	135000.0		0.0		0.0		1869463.0	10000.0			0.0	10000.0	1859463.0	1869463.0	0.0		514420.0		0.0	-514420.0	0.0	0.0	Friedman LLP	true	true		true			Securities Act Section 4(a)(2)
0000715812-19-000009	708 CHURCH STREET	SUITE 227	EVANSTON	IL	60201	847-859-6645	Timothy P. Fitzgerald	Other	458373.0	0.0		8273228.0		33968364.0		42806531.0	307656.0			16474268.0	16781924.0	26024607.0	42806531.0	1598834.0		1238655.0		143006.0	217173.0	4.4	4.18	Plante & Moran, PLLC	true	true		true			Rule 506(c) of Regulation D.  The facts relied on were that all investors in the offering were accredited investors and the issuer took reasonable steps to verify that the investors were accredited investors.
0001078782-19-000252	300 ARAGON AVENUE SUITE 375		CORAL GABLES	FL	33134	954-951-8191	Scott Doney	Other	18067.0	0.0		2135111.0		283733.0		2436911.0	2285280.0			91587.0	2376867.0	60044.0	2436911.0	3794539.0		3709311.0		18450.0	-503595.0	-0.03	-0.03	Boyle CPA LLC	true	true	false	true	false	false	Section 4(a)(2) and/or Rule 506(b).
0001731122-19-000142	5000 W. Tilghman Street, Suite 249		Allentown	PA	18104-9109	484-712-7372	Jeffrey Cella	Other	336938.0	0.0		4722740.0		0.0		5059678.0	5026171.0			0.0	5026171.0	33507.0	5059678.0	208789.0		130282.0		0.0	78507.0	0.0	0.0	Spiegel Accountancy Corporation	true	true		true			Notes sold by CF FUND II, LLC were sold pursuant to Tier 1 of Regulation A of the Securities Act
