ACCESSION_NUMBER	SI_ID	ISSUEDSECURITIESTITLE
0000806171-19-000011	1	Common
0001553350-19-000279	1	Worthy Bonds
0001493152-19-003933	1	COMMON SHARES
0001690824-19-000002	1	Common
0001144204-19-011594	1	Class A Common Stock
0001144204-19-011594	2	Class D Common Stock
0001214659-19-001418	1	Common Stock
0001213900-19-001410	1	Community Investment Notes - 2% and $50 Minimum, Patient Capital Notes - 3.5% and $2,500 Minimum, and Risk Capital Notes - 5% and $50,000 Minimum
0001445866-19-000074	1	Common Stock
0001213900-19-000590	1	Fig Game Shares - Psychonauts 2; Fig Game Shares - Wasteland 3; Fig Game Shares - Pillars of Eternity II; Fig Game Shares - Phoenix Point
