ACCESSION_NUMBER	JID	TYPE	ISSUEJURISDICTIONOFFERING
0001213900-19-005271	14	issue	IN
0001213900-19-005271	15	issue	IA
0001213900-19-005271	16	issue	KS
0001213900-19-005271	17	issue	KY
0001213900-19-005271	18	issue	LA
0001213900-19-005271	19	issue	ME
0001213900-19-005271	20	issue	MD
0001213900-19-005271	21	issue	MA
0001213900-19-005271	22	issue	MI
0001213900-19-005271	23	issue	MN
0001213900-19-005271	24	issue	MS
0001213900-19-005271	25	issue	MO
0001213900-19-005271	26	issue	MT
0001213900-19-005271	27	issue	NE
0001213900-19-005271	28	issue	NV
0001213900-19-005271	29	issue	NH
0001213900-19-005271	30	issue	NJ
0001213900-19-005271	31	issue	NM
0001213900-19-005271	32	issue	NY
0001213900-19-005271	33	issue	NC
0001213900-19-005271	34	issue	ND
0001213900-19-005271	35	issue	OH
0001213900-19-005271	36	issue	OK
0001213900-19-005271	37	issue	OR
0001213900-19-005271	38	issue	PA
0001213900-19-005271	39	issue	RI
0001213900-19-005271	40	issue	SC
0001213900-19-005271	41	issue	SD
0001213900-19-005271	42	issue	TN
0001213900-19-005271	43	issue	TX
0001213900-19-005271	44	issue	UT
0001213900-19-005271	45	issue	VT
0001213900-19-005271	46	issue	VA
0001213900-19-005271	47	issue	WA
0001213900-19-005271	48	issue	WV
0001213900-19-005271	49	issue	WI
0001213900-19-005271	50	issue	WY
0001213900-19-005271	51	issue	DC
0001213900-19-005271	52	issue	PR
0001213900-19-005271	53	issue	A0
0001213900-19-005271	54	issue	A1
0001213900-19-005271	55	issue	A2
0001213900-19-005271	56	issue	A3
0001213900-19-005271	57	issue	A4
0001213900-19-005271	58	issue	A5
0001213900-19-005271	59	issue	A6
0001213900-19-005271	60	issue	A7
0001213900-19-005271	61	issue	A8
0001213900-19-005271	62	issue	A9
0001213900-19-005271	63	issue	B0
0001213900-19-005271	64	issue	Z4
0001213900-19-005271	1	issue	AL
0001213900-19-005271	2	issue	AK
0001213900-19-005271	3	issue	AZ
0001213900-19-005271	4	issue	AR
0001213900-19-005271	5	issue	CA
0001213900-19-005271	6	issue	CO
0001213900-19-005271	7	issue	CT
0001213900-19-005271	8	issue	DE
0001213900-19-005271	9	issue	FL
0001213900-19-005271	10	issue	GA
0001213900-19-005271	11	issue	HI
0001213900-19-005271	12	issue	ID
0001213900-19-005271	13	issue	IL
0001144204-19-016870	14	issue	IN
0001144204-19-016870	15	issue	IA
0001144204-19-016870	16	issue	KS
0001144204-19-016870	17	issue	KY
0001144204-19-016870	18	issue	LA
0001144204-19-016870	19	issue	ME
0001144204-19-016870	20	issue	MD
0001144204-19-016870	21	issue	MA
0001144204-19-016870	22	issue	MI
0001144204-19-016870	23	issue	MN
0001144204-19-016870	24	issue	MS
0001144204-19-016870	25	issue	MO
0001144204-19-016870	26	issue	MT
0001144204-19-016870	27	issue	NE
0001144204-19-016870	28	issue	NV
0001144204-19-016870	29	issue	NH
0001144204-19-016870	30	issue	NJ
0001144204-19-016870	31	issue	NM
0001144204-19-016870	32	issue	NY
0001144204-19-016870	33	issue	NC
0001144204-19-016870	34	issue	ND
0001144204-19-016870	35	issue	OH
0001144204-19-016870	36	issue	OK
0001144204-19-016870	37	issue	OR
0001144204-19-016870	38	issue	PA
0001144204-19-016870	39	issue	RI
0001144204-19-016870	40	issue	SC
0001144204-19-016870	41	issue	SD
0001144204-19-016870	42	issue	TN
0001144204-19-016870	43	issue	TX
0001144204-19-016870	44	issue	UT
0001144204-19-016870	45	issue	VT
0001144204-19-016870	46	issue	VA
0001144204-19-016870	47	issue	WA
0001144204-19-016870	48	issue	WV
0001144204-19-016870	49	issue	WI
0001144204-19-016870	50	issue	WY
0001144204-19-016870	51	issue	DC
0001144204-19-016870	1	issue	AL
0001144204-19-016870	2	issue	AK
0001144204-19-016870	3	issue	AZ
0001144204-19-016870	4	issue	AR
0001144204-19-016870	5	issue	CA
0001144204-19-016870	6	issue	CO
0001144204-19-016870	7	issue	CT
0001144204-19-016870	8	issue	DE
0001144204-19-016870	9	issue	FL
0001144204-19-016870	10	issue	GA
0001144204-19-016870	11	issue	HI
0001144204-19-016870	12	issue	ID
0001144204-19-016870	13	issue	IL
0001144204-19-016865	14	issue	IN
0001144204-19-016865	13	issue	IL
0001144204-19-016865	16	issue	KS
0001144204-19-016865	17	issue	KY
0001144204-19-016865	18	issue	LA
0001144204-19-016865	19	issue	ME
0001144204-19-016865	20	issue	MD
0001144204-19-016865	21	issue	MA
0001144204-19-016865	22	issue	MI
0001144204-19-016865	23	issue	MN
0001144204-19-016865	24	issue	MS
0001144204-19-016865	25	issue	MO
0001144204-19-016865	26	issue	MT
0001144204-19-016865	27	issue	NE
0001144204-19-016865	28	issue	NV
0001144204-19-016865	29	issue	NH
0001144204-19-016865	30	issue	NJ
0001144204-19-016865	31	issue	NM
0001144204-19-016865	32	issue	NY
0001144204-19-016865	33	issue	NC
0001144204-19-016865	34	issue	ND
0001144204-19-016865	35	issue	OH
0001144204-19-016865	36	issue	OK
0001144204-19-016865	37	issue	OR
0001144204-19-016865	38	issue	PA
0001144204-19-016865	39	issue	RI
0001144204-19-016865	40	issue	SC
0001144204-19-016865	41	issue	SD
0001144204-19-016865	42	issue	TN
0001144204-19-016865	43	issue	TX
0001144204-19-016865	44	issue	UT
0001144204-19-016865	45	issue	VT
0001144204-19-016865	46	issue	VA
0001144204-19-016865	47	issue	WA
0001144204-19-016865	48	issue	WV
0001144204-19-016865	49	issue	WI
0001144204-19-016865	50	issue	WY
0001144204-19-016865	51	issue	DC
0001144204-19-016865	1	issue	AL
0001144204-19-016865	2	issue	AK
0001144204-19-016865	3	issue	AZ
0001144204-19-016865	4	issue	AR
0001144204-19-016865	5	issue	CA
0001144204-19-016865	6	issue	CO
0001144204-19-016865	7	issue	CT
0001144204-19-016865	8	issue	DE
0001144204-19-016865	9	issue	FL
0001144204-19-016865	10	issue	GA
0001144204-19-016865	11	issue	HI
0001144204-19-016865	12	issue	ID
0001144204-19-016865	15	issue	IA
0001445866-19-000310	37	issue	OK
0001445866-19-000310	38	issue	OR
0001445866-19-000310	39	issue	PA
0001445866-19-000310	40	issue	PR
0001445866-19-000310	41	issue	RI
0001445866-19-000310	42	issue	SC
0001445866-19-000310	43	issue	SD
0001445866-19-000310	44	issue	TN
0001445866-19-000310	45	issue	TX
0001445866-19-000310	46	issue	UT
0001445866-19-000310	47	issue	VT
0001445866-19-000310	48	issue	VA
0001445866-19-000310	49	issue	WA
0001445866-19-000310	50	issue	WV
0001445866-19-000310	51	issue	WI
0001445866-19-000310	52	issue	WY
0001445866-19-000310	53	issue	A0
0001445866-19-000310	54	issue	A1
0001445866-19-000310	55	issue	A2
0001445866-19-000310	56	issue	A3
0001445866-19-000310	57	issue	A4
0001445866-19-000310	58	issue	A5
0001445866-19-000310	59	issue	A6
0001445866-19-000310	60	issue	A7
0001445866-19-000310	61	issue	A8
0001445866-19-000310	62	issue	A9
0001445866-19-000310	63	issue	B0
0001445866-19-000310	64	issue	Z4
0001445866-19-000310	1	dealer	AL
0001445866-19-000310	2	dealer	AK
0001445866-19-000310	3	dealer	AZ
0001445866-19-000310	4	dealer	AR
0001445866-19-000310	5	dealer	CA
0001445866-19-000310	6	dealer	CO
0001445866-19-000310	7	dealer	CT
0001445866-19-000310	8	dealer	DE
0001445866-19-000310	9	dealer	DC
0001445866-19-000310	10	dealer	FL
0001445866-19-000310	11	dealer	GA
0001445866-19-000310	12	dealer	HI
0001445866-19-000310	13	dealer	ID
0001445866-19-000310	14	dealer	IL
0001445866-19-000310	15	dealer	IN
0001445866-19-000310	16	dealer	IA
0001445866-19-000310	17	dealer	KS
0001445866-19-000310	18	dealer	KY
0001445866-19-000310	1	issue	AL
0001445866-19-000310	2	issue	AK
0001445866-19-000310	3	issue	AZ
0001445866-19-000310	4	issue	AR
0001445866-19-000310	5	issue	CA
0001445866-19-000310	6	issue	CO
0001445866-19-000310	7	issue	CT
0001445866-19-000310	8	issue	DE
0001445866-19-000310	9	issue	DC
0001445866-19-000310	10	issue	FL
0001445866-19-000310	11	issue	GA
0001445866-19-000310	12	issue	HI
0001445866-19-000310	13	issue	ID
0001445866-19-000310	14	issue	IL
0001445866-19-000310	15	issue	IN
0001445866-19-000310	16	issue	IA
0001445866-19-000310	17	issue	KS
