ACCESSION_NUMBER	SECURITY_ID	SECURITIESISSUERNAME	SECURITIESISSUERTITLE	SECURITIESISSUEDTOTALAMOUNT	SECURITIESPRINCIPALHOLDERAMT	SECURITIESISSUEDAGGREGATEAMT	AGGREGATECONSIDERATIONBASIS
0001213900-19-005271	1	Emerald Health Pharmaceuticals Inc.	Common Stock	12279880	0	1,754400	
0001213900-19-005271	2	Emerald Health Pharmaceuticals Inc.	Common Stock	12279880	0	1,754400	
0001144204-19-016870	2	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	4	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	3	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	1	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016865	2	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016865	1	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016865	3	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001445866-19-000310	1	Co-optrade	Common Stock	8100000	0	Payment of Shares for Service Rendered	
0001104659-19-018303	1	MogulREIT I, LLC	Common shares	1682994	0	$16,829,946 (1,682,994 shares at $10.00 per common share)	
0001437749-19-005903	1	St. Renatus, LLC	Convertible Promissory Notes	8565222	8565222	$8,565,222 cash	$8,565,222 cash
0001019056-19-000222	1	Prometheum, Inc.	Common Stock and Ember Warrants	79025000	0	$3 million cash plus technology and services valued at $9 million.	
0000715812-19-000009	1	Iroquois Valley Farmland REIT, PBC	Common	20032000	0	"$596 per share of common stock.  The basis for computing the price per share is reflected in ""Determination of the Offering Price"" in the Offering Circular."	
0001078782-19-000252	1	iQSTEL Inc	Common Stock	14196926	0	0	
0001731122-19-000142	1	CF FUND II, LLC	Promissory Notes	3076306	0	$3,076,306 were issued and sold pursuant to Offering Circular File No. 024-10732 (as may be amended and supplemented from time to time)	
0001078782-19-000249	1	iQSTEL Inc	Common Stock	14196926	0	0	
0001760319-19-000006	1	CANNABINOID BIOSCIENCES, INC	COMMON STOCK	7700000	0	56100	
0001144204-19-016178	1	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
