ACCESSION_NUMBER	SO_ID	SECURITIESOFFEREDTYPES	SECURITIESOFFEREDOTHERDESC
0001213900-19-005271	1	Equity (common or preferred stock)	
0001144204-19-016870	1	Equity (common or preferred stock)	
0001144204-19-016865	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001445866-19-000310	1	Equity (common or preferred stock)	
0001104659-19-018303	1	Equity (common or preferred stock)	
0001437749-19-005903	1	Equity (common or preferred stock)	
0001019056-19-000222	1	Other(describe)	Ember Warrants exercisable to purchase Ember Tokens
0000715812-19-000009	1	Equity (common or preferred stock)	
0001078782-19-000252	1	Equity (common or preferred stock)	
0001731122-19-000142	1	Debt	
0001078782-19-000249	1	Equity (common or preferred stock)	
0001760319-19-000006	1	Equity (common or preferred stock)	
0001144204-19-016178	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001437749-19-005758	1	Equity (common or preferred stock)	
0001477932-19-001196	1	Equity (common or preferred stock)	
0001144204-19-016032	1	Equity (common or preferred stock)	
0001104659-19-017475	1	Equity (common or preferred stock)	
0001683168-19-000774	1	Equity (common or preferred stock)	
0001477932-19-001151	1	Equity (common or preferred stock)	
0001758868-19-000002	1	Equity (common or preferred stock)	
0001213900-19-004701	1	Equity (common or preferred stock)	
0001376474-19-000053	1	Equity (common or preferred stock)	
0001393905-19-000084	1	Equity (common or preferred stock)	
0001765320-19-000002	1	Equity (common or preferred stock)	
0001683168-19-000742	1	Equity (common or preferred stock)	
0001144204-19-015156	1	Equity (common or preferred stock)	
0001615774-19-004280	1	Equity (common or preferred stock)	
0001615774-19-004278	1	Equity (common or preferred stock)	
0001615774-19-004276	1	Equity (common or preferred stock)	
0001615774-19-004275	1	Equity (common or preferred stock)	
0001615774-19-004272	1	Equity (common or preferred stock)	
0001615774-19-004270	1	Equity (common or preferred stock)	
0001615774-19-004269	1	Equity (common or preferred stock)	
0001615774-19-004267	1	Equity (common or preferred stock)	
0001615774-19-004266	1	Equity (common or preferred stock)	
0001615774-19-004263	1	Equity (common or preferred stock)	
0001615774-19-004261	1	Equity (common or preferred stock)	
0001615774-19-004260	1	Equity (common or preferred stock)	
0001144204-19-014909	1	Equity (common or preferred stock)	
0001213900-19-004466	1	Equity (common or preferred stock)	
0001493152-19-003562	1	Equity (common or preferred stock)	
0001144204-19-014672	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001213900-19-004381	1	Equity (common or preferred stock)	
0001615774-19-004155	1	Equity (common or preferred stock)	
0001117768-19-000152	1	Equity (common or preferred stock)	
0001683168-19-000661	1	Equity (common or preferred stock)	
0001144204-19-013755	1	Equity (common or preferred stock)	
0001683168-19-000639	1	Equity (common or preferred stock)	
0001615774-19-004000	1	Equity (common or preferred stock)	
0001615774-19-003979	1	Equity (common or preferred stock)	
0001437749-19-004703	1	Equity (common or preferred stock)	
0001721868-19-000107	1	Equity (common or preferred stock)	
0001144204-19-013333	1	Equity (common or preferred stock)	
0001144204-19-013332	1	Equity (common or preferred stock)	
0001393905-19-000072	1	Equity (common or preferred stock)	
0001615774-19-003876	1	Equity (common or preferred stock)	
0001615774-19-003872	1	Equity (common or preferred stock)	
0001615774-19-003869	1	Equity (common or preferred stock)	
0001214659-19-002011	1	Equity (common or preferred stock)	
0001615774-19-003791	1	Equity (common or preferred stock)	
0001615774-19-003754	1	Equity (common or preferred stock)	
0001213900-19-003728	1	Equity (common or preferred stock)	
0001144204-19-012709	1	Equity (common or preferred stock)	
0001615774-19-003726	1	Equity (common or preferred stock)	
0001615774-19-003723	1	Equity (common or preferred stock)	
0001615774-19-003721	1	Equity (common or preferred stock)	
0001445866-19-000214	1	Equity (common or preferred stock)	
0001144204-19-012639	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001144204-19-012509	1	Equity (common or preferred stock)	
0001213900-19-003635	1	Equity (common or preferred stock)	
0001761911-19-000001	1	Equity (common or preferred stock)	
0001615774-19-003669	1	Equity (common or preferred stock)	
0001615774-19-003654	1	Equity (common or preferred stock)	
0001760319-19-000001	1	Equity (common or preferred stock)	
0001144204-19-012168	1	Equity (common or preferred stock)	
0001683168-19-000545	1	Equity (common or preferred stock)	
0001022183-19-000002	1	Equity (common or preferred stock)	
0001144204-19-012031	1	Equity (common or preferred stock)	
0001766570-19-000002	1	Equity (common or preferred stock)	
0001615774-19-003467	1	Equity (common or preferred stock)	
0001437749-19-003774	1	Equity (common or preferred stock)	
0000715812-19-000002	1	Equity (common or preferred stock)	
0001683168-19-000514	1	Equity (common or preferred stock)	
0001144204-19-010451	1	Equity (common or preferred stock)	
0001144204-19-010228	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001144204-19-010145	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001688804-19-000002	1	Other(describe)	LLC Interests
0001683168-19-000492	1	Equity (common or preferred stock)	
0001078782-19-000165	1	Equity (common or preferred stock)	
0001144204-19-009699	1	Equity (common or preferred stock)	
0001393905-19-000061	1	Equity (common or preferred stock)	
0001640334-19-000317	1	Equity (common or preferred stock)	
0001213900-19-002929	1	Equity (common or preferred stock)	
0001683168-19-000443	1	Other(describe)	Series LLC Interests
0001640334-19-000288	1	Equity (common or preferred stock)	
0001078782-19-000155	1	Equity (common or preferred stock)	
0001214659-19-001339	1	Equity (common or preferred stock)	
0001737569-19-000001	1	Equity (common or preferred stock)	
0001104659-19-009096	1	Equity (common or preferred stock)	
0001144204-19-008691	1	Equity (common or preferred stock)	
0001144204-19-008670	1	Equity (common or preferred stock)	
0001683168-19-000402	1	Equity (common or preferred stock)	
0001731122-19-000053	1	Equity (common or preferred stock)	
0001078782-19-000122	1	Equity (common or preferred stock)	
0001144204-19-006971	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001213900-19-002305	1	Equity (common or preferred stock)	
0001628279-19-000025	1	Equity (common or preferred stock)	
0001437749-19-002321	1	Equity (common or preferred stock)	
0001144204-19-006506	1	Equity (common or preferred stock)	
0001144204-19-006365	1	Equity (common or preferred stock)	
0001214659-19-001000	1	Equity (common or preferred stock)	
0001683168-19-000320	1	Equity (common or preferred stock)	
0001144204-19-006003	1	Equity (common or preferred stock)	
0001493152-19-001633	1	Equity (common or preferred stock)	
0001477932-19-000390	1	Equity (common or preferred stock)	
0001493152-19-001620	1	Equity (common or preferred stock)	
0001264931-19-000019	1	Equity (common or preferred stock)	
0001445866-19-000121	1	Equity (common or preferred stock)	
0001683168-19-000278	1	Equity (common or preferred stock)	
0001144204-19-005404	1	Equity (common or preferred stock)	
0001144204-19-005392	1	Debt	
0001144204-19-005272	1	Equity (common or preferred stock)	
0001640334-19-000145	1	Equity (common or preferred stock)	
0001683168-19-000237	1	Equity (common or preferred stock)	
0001144204-19-004467	1	Equity (common or preferred stock)	
0001144204-19-004383	1	Equity (common or preferred stock)	
0001477932-19-000312	1	Equity (common or preferred stock)	
0001688804-19-000001	1	Other(describe)	LLC Interests
0001144204-19-003869	1	Equity (common or preferred stock)	
0001144204-19-003833	1	Other(describe)	Limited Recourse Obligation (LRO), a limited debt obligation of the issuer
0001493152-19-001147	1	Equity (common or preferred stock)	
0001393905-19-000030	1	Equity (common or preferred stock)	
0001477932-19-000272	1	Equity (common or preferred stock)	
0001144204-19-003068	1	Equity (common or preferred stock)	
0001214659-19-000545	1	Equity (common or preferred stock)	
0001144204-19-002945	1	Equity (common or preferred stock)	
0001144204-19-002943	1	Equity (common or preferred stock)	
0001214659-19-000467	1	Equity (common or preferred stock)	
0001659173-19-000006	1	Debt	
0001104659-19-002519	1	Equity (common or preferred stock)	
0001144204-19-002038	1	Equity (common or preferred stock)	
0001709247-19-000001	1	Equity (common or preferred stock)	
0001078782-19-000065	1	Equity (common or preferred stock)	
0001079974-19-000017	1	Equity (common or preferred stock)	
0001477932-19-000195	1	Equity (common or preferred stock)	
0001486452-19-000004	1	Equity (common or preferred stock)	
0001144204-19-001541	1	Equity (common or preferred stock)	
0001683168-19-000085	1	Equity (common or preferred stock)	
0001264931-19-000005	1	Equity (common or preferred stock)	
0001683168-19-000068	1	Equity (common or preferred stock)	
0001683168-19-000051	1	Other(describe)	Series LLC Interests
0001493152-19-000264	1	Equity (common or preferred stock)	
0001749817-19-000002	1	Equity (common or preferred stock)	
0001117768-19-000017	1	Equity (common or preferred stock)	
0001117768-19-000016	1	Equity (common or preferred stock)	
0001477932-19-000024	1	Equity (common or preferred stock)	
0001078782-19-000001	1	Equity (common or preferred stock)	
0001683168-18-003833	1	Equity (common or preferred stock)	
