ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001772030-19-000001	101	Oneida Group Inc.	Jamie Keller	Jamie Keller	Chief Financial Officer	2019-03-29
0001638280-19-000002	101	Javelin Venture Partners I SPV I, LLC	/s/ Noah Doyle	Noah Doyle	Managing Director of General Partner of Manager of Issuer	2019-03-29
0000947871-19-000255	101	GTIS Qualified Opportunity Fund LLC	/s/ Amy Boyle	Amy Boyle	Vice President	2019-03-29
0001567619-19-007866	101	LifeMine Therapeutics, Inc.	/s/ WeiQing Zhou	WeiQing Zhou	Treasurer, Secretary & Chief Operating Officer	2019-03-29
0001772000-19-000002	101	Artist Growth Opportunity Fund I LP	/s/ Jonathan Sands	Jonathan Sands	Managing Member of the General Partner of the Issuer	2019-03-29
0001493152-19-004287	101	Reading Opportunity Zone Fund, LP	/s/ Joseph Sinclair	Joseph Sinclair	Principal	2019-03-29
0001701777-19-000001	101	ASP (Feeder) Private Credit Fund LP	Eric R. Mansell	Eric R. Mansell	Executive Vice President	2019-03-29
0001772000-19-000001	101	Artist Growth Opportunity I LP	/s/ Jonathan Sands	Jonathan Sands	Managing Member of the General Partner of the Issuer	2019-03-29
0001701752-19-000001	101	Adams Street Private Credit Fund-A LP	Eric R. Mansell	Eric R. Mansell	Executive Vice President	2019-03-29
0001382963-19-000034	101	trueDIGITAL Holdings LLC	/s/ Thomas Kim	Thomas Kim	Chief Executive Officer	2019-03-29
0001713109-19-000001	101	ASP Partners Private Credit Fund LP	Eric R. Mansell	Eric R. Mansell	Executive Vice President	2019-03-29
0001768296-19-000001	101	Urban Us Fund III, LP	/s/ Shaun Abrahamson	Shaun Abrahamson	Managing Member of Issuer's General Partner	2019-03-29
0001615774-19-004966	101	Fraym, Inc.	/s/ Benjamin Leo	Benjamin Leo	Chief Executive Officer	2019-03-29
0001771795-19-000001	101	STEADY STATE LLC	/s/ Oscar Hackett	Oscar Hackett	Co-Manager	2019-03-29
0001772195-19-000002	101	KB Essential Healthcare 25, DST	/s/ Michael Stubben	Michael Stubben	Chief Financial Officer	2019-03-29
0001668283-19-000002	101	KXTER INC.	Thomas Schneider	Thomas Schneider	President	2019-03-29
0001771610-19-000001	101	Stonetown Telge, LLLP	/s/Roy Lapidus	Roy Lapidus	Manager of General Partner of Issuer	2019-03-29
0001768769-19-000002	101	3L Capital RO, LLC	/s/ Shawn Colo	Shawn Colo	Manager of the Manager of the Issuer	2019-03-29
0001751323-19-000001	101	RUNERRA TECHNOLOGIES INC.	BHARAT PULGAM	BHARATPULGAM	CEO	2019-02-14
0001772080-19-000001	101	Morning Consult Holdings, Inc.	/s/Evan Judge	Evan Judge	Chief Operating Officer	2019-03-29
0001382963-19-000033	101	trueEX Group LLC	/s/ Sunil Hirani	Sunil Hirani	Chief Executive Officer	2019-03-29
0001772303-19-000002	101	Gotham Enhanced 500 Fund, LP	Louis LaRocca	Louis LaRocca	Authorized Signatory	2019-03-29
0001772193-19-000001	101	Vitae Investments X, LLC	David Valenti	David Valenti	Attorney-in-Fact	2019-03-29
0001666228-19-000001	101	Union Square Park Partners Offshore, Ltd	Leon Zaltzman	Leon Zaltzman	Director	2019-03-29
0001144204-19-017006	101	theMaven, Inc.	/s/ Robert Scott	Robert Scott	Executive Vice President	2019-03-29
